Geografische Koordinate;Bezeichnung;Objektkategorie;Objektart;Objektname;Objektname-Zusatz;Information-Beschreibung;Information;Straße;Hausnummer;Ort;Link;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;UUID;Ostwert;Hochwert;Kommune
51.4968465045, 7.4587196178;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Rheinlanddamm 200/ Westfalenhalle;;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;5c3c4ba2-f1bb-4432-abf5-96d88f8028ed;393011.011485575;5706204.719839491;Dortmund
51.4918785176, 7.5555035132;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Aplerbeck, Marktplatz;;;;Dortmund;;4;Aplerbeck;410;Aplerbeck;413;Aplerbecker Markt;869f256d-4c0a-4859-9b34-e38f1c43bd1a;399718.0975442996;5705515.238360881;Dortmund
51.5000248056, 7.333426576;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Lütgendortmund, Limbecker Straße Ecke Werner Straße;;;;Dortmund;;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;2acc127b-d67c-41e6-8d2e-b4d87f0644f8;384322.2894726262;5706748.727738014;Dortmund
51.4893391843, 7.5025496176;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Stiftsplatz, Hermannstraße 57-63;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;fa52c381-49e1-4cc2-8481-c1d0570f7b1e;396036.26406906015;5705306.720556129;Dortmund
51.493600652, 7.4690670456;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: An der Buschmühle;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;7a3e95f9-71c1-4f87-a1a9-ab629ba847b1;393721.6972996358;5705828.694088309;Dortmund
51.4919492054, 7.4553957025;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Bolmker Weg / Schwimmweg;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;00f00ba7-10dc-49c0-8fe2-0ce178977cef;392768.8004236317;5705664.983150637;Dortmund
51.4948546946, 7.4611278336;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Remydamm;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;778d45b2-9cf4-4f01-99a1-1343b1867b2c;393173.5137053082;5705979.705025967;Dortmund
51.4936068675, 7.4485291993;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Strobelallee / Am Westfalenstadion;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;4f608ddb-9482-49d9-8812-9710147d0077;392296.0396158417;5705859.402291466;Dortmund
51.4935466983, 7.462828462;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Viktor_Toyka_Straße 6;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;f0a45395-6b21-4fe9-be56-2a0a4454e3f4;393288.50823667936;5705831.769869562;Dortmund
51.4946704391, 7.4439796811;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Am Westfalenstadion / Wittekindstraße 106;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;98bdb759-456c-4c9a-8609-aa9217a304f1;391982.74108933815;5705984.379205073;Dortmund
